attributes,freq,group
v6,664,power
engine,534,power
year,495,reliability
drive,475,performance
miles,469,reliability
price,423,price
driving,414,performance
look,382,design
pretty,359,design
power,357,power
looks,321,design
long,321,capacity
value,320,price
cost,311,price
interior,301,design
sales,291,price
mileage,282,performance
mpg,269,performance
mid,267,capacity
speed,264,power
fuel,258,efficiency
hp,253,power
reliability,248,reliability
handling,241,performance
gas,239,efficiency
size,236,capacity
midsize,233,capacity
awd,227,performance
course,224,performance
course,224,performance
seat,223,reliability
cylinder,220,power
quality,217,reliability
money,216,price
driver,209,performance
performance,207,performance
engines,201,power
warranty,196,warranty
rear,192,performance
transmission,189,performance
design,187,design
resale,185,price
economy,183,efficiency
buying,175,price
control,175,performance
sold,168,price
road,164,performance
worth,160,price
highway,159,performance
room,155,capacity
brand,154,brand
selling,154,price
buyers,153,price
small,153,capacity
owned,149,price
styling,149,design
driven,144,performance
automatic,140,performance
owners,140,price
mph,134,power
drove,134,performance
epa,132,performance
system,132,performance
family,129,capacity
wheel,128,reliability
purchase,127,price
sounds,126,performance
brakes,125,reliability
prices,121,price
offer,119,price
torque,119,power
msrp,117,price
expensive,116,price
repair,116,maintenance
large,115,capacity
sized,115,capacity
reliable,113,reliability
longer,112,reliability
door,109,design
safety,108,safety
wheels,105,reliability
cyl,104,power
cheap,104,price
tires,103,reliability
huge,101,capacity
drives,99,performance
buyer,97,price
build,97,design
oil,95,efficiency
maintenance,95,maintenance
trade,94,price
steering,94,performance
hit,94,performance
cheaper,91,price
owner,90,price
bigger,90,capacity
fast,90,power
style,90,design
running,89,performance
manufacturer,89,design
acceleration,89,power
wagon,88,design
quick,87,power
tranny,87,performance
shades,86,design
larger,86,capacity
smaller,85,capacity
inside,85,design
abs,85,technology
smooth,83,performance
base,80,performance
sound,80,performance
liter,80,efficiency
comfortable,80,luxury
suspension,79,performance
camcords,79,design
brake,78,reliability
sel,78,brand
drivers,78,performance
discounts,77,price
dealers,77,price
cvt,76,efficiency
service,75,warranty
term,75,price
traffic,75,efficiency
esc,75,performance
leather,74,design
gear,74,performance
technology,72,technology
camcord,72,design
light,72,design
body,71,design
horsepower,71,power
repairs,71,maintenance
quiet,71,performance
stability,71,reliability
terms,71,price
volume,71,performance
rental,70,price
hybrid,70,efficiency
values,68,price
turbo,66,performance
mile,66,efficiency
sporty,66,sporty
braking,66,performance
fwd,66,performance
rebates,66,price
weight,65,design
fe,65,efficiency
coupe,64,design
designed,64,design
dollars,62,price
trip,62,efficiency
exhaust,62,performance
rpm,61,power
limited,61,brand
v6s,61,power
sport,60,sporty
break,60,reliability
slow,59,power
belt,59,safety
radio,59,technology
pricing,59,price
noise,57,performance
space,56,capacity
powerful,56,power
loaded,55,capacity
bottom,55,reliability
hood,55,reliability
offering,55,price
dealership,54,price
grand,54,luxury
sticker,53,design
rwd,53,performance
heavy,53,performance
tested,53,performance
push,53,performance
tests,52,performance
dt,52,performance
doors,51,design
refinement,51,maintenance
black,51,design
offers,51,price
invoice,51,warranty